,,,,All Type of Report (All Grades) for 01-Jan-2023 to 31-Dec-2025,,,
Gujarat,Vegetables,Potato,December-2025,70614.70,Metric Tonnes,1456.16,Rs./Quintal
Gujarat,Vegetables,Tomato,December-2025,21446.03,Metric Tonnes,3000.56,Rs./Quintal
Haryana,Vegetables,Onion,January-2023,7899.14,Metric Tonnes,1342.08,Rs./Quintal
Haryana,Vegetables,Potato,January-2023,78744.73,Metric Tonnes,453.86,Rs./Quintal
Haryana,Vegetables,Tomato,January-2023,8275.42,Metric Tonnes,1007.65,Rs./Quintal
Haryana,Vegetables,Onion,February-2023,10117.32,Metric Tonnes,1150.45,Rs./Quintal
Haryana,Vegetables,Potato,February-2023,76103.50,Metric Tonnes,326.04,Rs./Quintal
Haryana,Vegetables,Tomato,February-2023,8252.80,Metric Tonnes,870.51,Rs./Quintal
Haryana,Vegetables,Onion,March-2023,9790.64,Metric Tonnes,964.67,Rs./Quintal
Haryana,Vegetables,Potato,March-2023,40655.63,Metric Tonnes,375.10,Rs./Quintal
Haryana,Vegetables,Tomato,March-2023,7258.93,Metric Tonnes,1059.05,Rs./Quintal
Haryana,Vegetables,Onion,April-2023,14530.51,Metric Tonnes,895.53,Rs./Quintal
Haryana,Vegetables,Potato,April-2023,17098.95,Metric Tonnes,650.86,Rs./Quintal
Haryana,Vegetables,Tomato,April-2023,10537.43,Metric Tonnes,887.22,Rs./Quintal
Haryana,Vegetables,Onion,May-2023,32855.96,Metric Tonnes,848.24,Rs./Quintal
Haryana,Vegetables,Potato,May-2023,22258.49,Metric Tonnes,756.40,Rs./Quintal
Haryana,Vegetables,Tomato,May-2023,13883.32,Metric Tonnes,707.11,Rs./Quintal
Haryana,Vegetables,Onion,June-2023,19148.29,Metric Tonnes,981.20,Rs./Quintal
Haryana,Vegetables,Potato,June-2023,24683.59,Metric Tonnes,891.50,Rs./Quintal
Haryana,Vegetables,Tomato,June-2023,12374.16,Metric Tonnes,1339.86,Rs./Quintal
Haryana,Vegetables,Onion,July-2023,15416.79,Metric Tonnes,1418.35,Rs./Quintal
Haryana,Vegetables,Potato,July-2023,25135.77,Metric Tonnes,1076.00,Rs./Quintal
Haryana,Vegetables,Tomato,July-2023,3751.76,Metric Tonnes,6661.19,Rs./Quintal
Haryana,Vegetables,Onion,August-2023,14784.77,Metric Tonnes,1623.25,Rs./Quintal
Haryana,Vegetables,Potato,August-2023,25399.79,Metric Tonnes,1046.74,Rs./Quintal
Haryana,Vegetables,Tomato,August-2023,3973.99,Metric Tonnes,3960.89,Rs./Quintal
Haryana,Vegetables,Onion,September-2023,17337.79,Metric Tonnes,1776.26,Rs./Quintal
Haryana,Vegetables,Potato,September-2023,31463.67,Metric Tonnes,1058.70,Rs./Quintal
Haryana,Vegetables,Tomato,September-2023,12634.82,Metric Tonnes,1518.04,Rs./Quintal
Haryana,Vegetables,Onion,October-2023,15663.51,Metric Tonnes,2177.96,Rs./Quintal
Haryana,Vegetables,Potato,October-2023,28533.23,Metric Tonnes,1003.22,Rs./Quintal
Haryana,Vegetables,Tomato,October-2023,11568.68,Metric Tonnes,1475.97,Rs./Quintal
Haryana,Vegetables,Onion,November-2023,9677.87,Metric Tonnes,3070.42,Rs./Quintal
Haryana,Vegetables,Potato,November-2023,34250.34,Metric Tonnes,1001.01,Rs./Quintal
Haryana,Vegetables,Tomato,November-2023,8366.52,Metric Tonnes,2396.30,Rs./Quintal
Haryana,Vegetables,Onion,December-2023,9706.25,Metric Tonnes,2278.51,Rs./Quintal
Haryana,Vegetables,Potato,December-2023,101900.66,Metric Tonnes,579.69,Rs./Quintal
Haryana,Vegetables,Tomato,December-2023,8701.62,Metric Tonnes,1711.56,Rs./Quintal
Haryana,Vegetables,Onion,January-2024,10915.94,Metric Tonnes,1722.67,Rs./Quintal
Haryana,Vegetables,Potato,January-2024,181555.97,Metric Tonnes,401.51,Rs./Quintal
Haryana,Vegetables,Tomato,January-2024,8608.00,Metric Tonnes,1596.92,Rs./Quintal
Haryana,Vegetables,Onion,February-2024,11281.41,Metric Tonnes,1508.55,Rs./Quintal
Haryana,Vegetables,Potato,February-2024,100951.53,Metric Tonnes,525.52,Rs./Quintal
Haryana,Vegetables,Tomato,February-2024,8526.32,Metric Tonnes,1888.71,Rs./Quintal
Haryana,Vegetables,Onion,March-2024,12070.94,Metric Tonnes,1609.47,Rs./Quintal
Haryana,Vegetables,Potato,March-2024,33141.06,Metric Tonnes,859.86,Rs./Quintal
Haryana,Vegetables,Tomato,March-2024,8028.59,Metric Tonnes,1898.79,Rs./Quintal
Haryana,Vegetables,Onion,April-2024,10695.42,Metric Tonnes,1532.11,Rs./Quintal
Haryana,Vegetables,Potato,April-2024,17337.96,Metric Tonnes,1174.57,Rs./Quintal
Haryana,Vegetables,Tomato,April-2024,7000.20,Metric Tonnes,1631.98,Rs./Quintal
Haryana,Vegetables,Onion,May-2024,18836.27,Metric Tonnes,1421.63,Rs./Quintal
Haryana,Vegetables,Potato,May-2024,17653.47,Metric Tonnes,1294.39,Rs./Quintal
Haryana,Vegetables,Tomato,May-2024,8979.03,Metric Tonnes,1050.65,Rs./Quintal
Haryana,Vegetables,Onion,June-2024,10897.03,Metric Tonnes,2019.18,Rs./Quintal
Haryana,Vegetables,Potato,June-2024,18487.77,Metric Tonnes,1494.38,Rs./Quintal
Haryana,Vegetables,Tomato,June-2024,8750.01,Metric Tonnes,1146.60,Rs./Quintal
Haryana,Vegetables,Onion,July-2024,9411.70,Metric Tonnes,2559.73,Rs./Quintal
Haryana,Vegetables,Potato,July-2024,20467.94,Metric Tonnes,1751.90,Rs./Quintal
Haryana,Vegetables,Tomato,July-2024,6483.17,Metric Tonnes,3303.75,Rs./Quintal
Haryana,Vegetables,Onion,August-2024,8947.53,Metric Tonnes,2762.50,Rs./Quintal
Haryana,Vegetables,Potato,August-2024,21305.03,Metric Tonnes,1772.10,Rs./Quintal
Haryana,Vegetables,Tomato,August-2024,7223.68,Metric Tonnes,2666.97,Rs./Quintal
Haryana,Vegetables,Onion,September-2024,9207.43,Metric Tonnes,3492.55,Rs./Quintal
Haryana,Vegetables,Potato,September-2024,21271.47,Metric Tonnes,1763.30,Rs./Quintal
Haryana,Vegetables,Tomato,September-2024,8045.70,Metric Tonnes,2749.69,Rs./Quintal
Haryana,Vegetables,Onion,October-2024,8175.95,Metric Tonnes,3600.69,Rs./Quintal
Haryana,Vegetables,Potato,October-2024,21526.23,Metric Tonnes,1776.34,Rs./Quintal
Haryana,Vegetables,Tomato,October-2024,6767.11,Metric Tonnes,4024.67,Rs./Quintal
Haryana,Vegetables,Onion,November-2024,9485.78,Metric Tonnes,3290.86,Rs./Quintal
Haryana,Vegetables,Potato,November-2024,23568.97,Metric Tonnes,1788.50,Rs./Quintal
Haryana,Vegetables,Tomato,November-2024,7810.89,Metric Tonnes,2735.86,Rs./Quintal
Haryana,Vegetables,Onion,December-2024,10300.09,Metric Tonnes,2775.43,Rs./Quintal
Haryana,Vegetables,Potato,December-2024,91437.03,Metric Tonnes,1497.81,Rs./Quintal
Haryana,Vegetables,Tomato,December-2024,9339.18,Metric Tonnes,2286.24,Rs./Quintal
Haryana,Vegetables,Onion,January-2025,13064.96,Metric Tonnes,2174.84,Rs./Quintal
Haryana,Vegetables,Potato,January-2025,75208.88,Metric Tonnes,911.69,Rs./Quintal
Haryana,Vegetables,Tomato,January-2025,13134.79,Metric Tonnes,993.51,Rs./Quintal
Haryana,Vegetables,Onion,February-2025,12549.33,Metric Tonnes,2327.40,Rs./Quintal
Haryana,Vegetables,Potato,February-2025,99395.64,Metric Tonnes,618.85,Rs./Quintal
Haryana,Vegetables,Tomato,February-2025,13330.15,Metric Tonnes,926.60,Rs./Quintal
Haryana,Vegetables,Onion,March-2025,16690.17,Metric Tonnes,2025.57,Rs./Quintal
Haryana,Vegetables,Potato,March-2025,79507.64,Metric Tonnes,610.50,Rs./Quintal
Haryana,Vegetables,Tomato,March-2025,14507.30,Metric Tonnes,864.02,Rs./Quintal
Haryana,Vegetables,Onion,April-2025,17036.41,Metric Tonnes,1265.63,Rs./Quintal
Haryana,Vegetables,Potato,April-2025,24799.80,Metric Tonnes,851.33,Rs./Quintal
Haryana,Vegetables,Tomato,April-2025,13525.09,Metric Tonnes,885.63,Rs./Quintal
Haryana,Vegetables,Onion,May-2025,32467.22,Metric Tonnes,1019.66,Rs./Quintal
Haryana,Vegetables,Potato,May-2025,24701.31,Metric Tonnes,931.63,Rs./Quintal
Haryana,Vegetables,Tomato,May-2025,13051.20,Metric Tonnes,837.68,Rs./Quintal
Haryana,Vegetables,Onion,June-2025,15837.47,Metric Tonnes,1187.99,Rs./Quintal
Haryana,Vegetables,Potato,June-2025,24373.25,Metric Tonnes,1044.79,Rs./Quintal
Haryana,Vegetables,Tomato,June-2025,11207.47,Metric Tonnes,1638.99,Rs./Quintal
Haryana,Vegetables,Onion,July-2025,11885.85,Metric Tonnes,1485.59,Rs./Quintal
Haryana,Vegetables,Potato,July-2025,23722.68,Metric Tonnes,1173.17,Rs./Quintal
Haryana,Vegetables,Tomato,July-2025,9552.99,Metric Tonnes,2362.21,Rs./Quintal
Haryana,Vegetables,Onion,August-2025,12665.78,Metric Tonnes,1520.89,Rs./Quintal
Haryana,Vegetables,Potato,August-2025,27435.25,Metric Tonnes,1103.71,Rs./Quintal
Haryana,Vegetables,Tomato,August-2025,9976.84,Metric Tonnes,3479.17,Rs./Quintal
Haryana,Vegetables,Onion,September-2025,15441.79,Metric Tonnes,1458.94,Rs./Quintal
Haryana,Vegetables,Potato,September-2025,33034.81,Metric Tonnes,1082.58,Rs./Quintal
Haryana,Vegetables,Tomato,September-2025,13192.51,Metric Tonnes,2304.62,Rs./Quintal
Haryana,Vegetables,Onion,October-2025,21661.72,Metric Tonnes,1666.29,Rs./Quintal
Haryana,Vegetables,Potato,October-2025,31761.15,Metric Tonnes,1123.97,Rs./Quintal
Haryana,Vegetables,Tomato,October-2025,11288.39,Metric Tonnes,2172.82,Rs./Quintal
Haryana,Vegetables,Onion,November-2025,17032.85,Metric Tonnes,1347.73,Rs./Quintal
Haryana,Vegetables,Potato,November-2025,55625.05,Metric Tonnes,1163.15,Rs./Quintal
Haryana,Vegetables,Tomato,November-2025,10968.81,Metric Tonnes,2749.59,Rs./Quintal
Haryana,Vegetables,Onion,December-2025,13332.81,Metric Tonnes,1450.12,Rs./Quintal
Haryana,Vegetables,Potato,December-2025,145502.60,Metric Tonnes,666.25,Rs./Quintal
Haryana,Vegetables,Tomato,December-2025,9892.36,Metric Tonnes,2850.41,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,January-2023,973.69,Metric Tonnes,2080.77,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,January-2023,1217.25,Metric Tonnes,978.80,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,January-2023,785.07,Metric Tonnes,1773.87,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,February-2023,937.19,Metric Tonnes,1762.10,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,February-2023,1225.55,Metric Tonnes,889.88,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,February-2023,779.03,Metric Tonnes,1709.20,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,March-2023,951.53,Metric Tonnes,1595.16,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,March-2023,1412.77,Metric Tonnes,854.60,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,March-2023,704.70,Metric Tonnes,2169.33,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,April-2023,856.38,Metric Tonnes,1558.88,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,April-2023,1164.34,Metric Tonnes,1017.92,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,April-2023,650.89,Metric Tonnes,1980.30,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,May-2023,907.27,Metric Tonnes,1563.83,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,May-2023,1057.94,Metric Tonnes,1207.73,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,May-2023,714.92,Metric Tonnes,1463.20,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,June-2023,936.22,Metric Tonnes,1663.42,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,June-2023,1218.34,Metric Tonnes,1477.15,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,June-2023,1196.92,Metric Tonnes,2824.61,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,July-2023,895.55,Metric Tonnes,2205.64,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,July-2023,1091.42,Metric Tonnes,1600.13,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,July-2023,901.20,Metric Tonnes,6132.87,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,August-2023,931.44,Metric Tonnes,2584.92,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,August-2023,1169.83,Metric Tonnes,1788.52,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,August-2023,2027.43,Metric Tonnes,5722.26,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,September-2023,990.35,Metric Tonnes,2741.74,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,September-2023,1240.97,Metric Tonnes,1960.26,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,September-2023,1965.14,Metric Tonnes,1602.68,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,October-2023,896.74,Metric Tonnes,3471.74,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,October-2023,1179.72,Metric Tonnes,1990.17,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,October-2023,1170.95,Metric Tonnes,1726.93,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,November-2023,726.58,Metric Tonnes,4526.43,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,November-2023,1126.99,Metric Tonnes,1797.85,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,November-2023,667.83,Metric Tonnes,3521.88,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,December-2023,1046.79,Metric Tonnes,3445.20,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,December-2023,1360.90,Metric Tonnes,1016.32,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,December-2023,653.59,Metric Tonnes,2983.88,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,January-2024,882.86,Metric Tonnes,2621.48,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,January-2024,1271.76,Metric Tonnes,846.08,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,January-2024,653.91,Metric Tonnes,2597.30,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,February-2024,867.06,Metric Tonnes,2105.48,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,February-2024,1257.55,Metric Tonnes,967.75,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,February-2024,644.86,Metric Tonnes,3211.84,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,March-2024,795.95,Metric Tonnes,2511.31,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,March-2024,1114.99,Metric Tonnes,1330.65,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,March-2024,642.67,Metric Tonnes,2920.53,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,April-2024,715.25,Metric Tonnes,2388.45,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,April-2024,949.03,Metric Tonnes,1670.55,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,April-2024,606.94,Metric Tonnes,2725.86,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,May-2024,1118.94,Metric Tonnes,2235.35,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,May-2024,1410.14,Metric Tonnes,2008.91,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,May-2024,963.63,Metric Tonnes,1905.97,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,June-2024,884.50,Metric Tonnes,3103.80,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,June-2024,1044.20,Metric Tonnes,2338.94,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,June-2024,1954.35,Metric Tonnes,1926.54,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,July-2024,966.43,Metric Tonnes,3690.41,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,July-2024,1213.60,Metric Tonnes,2646.57,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,July-2024,6878.12,Metric Tonnes,3132.31,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,August-2024,741.41,Metric Tonnes,4038.45,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,August-2024,951.90,Metric Tonnes,2723.76,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,August-2024,1874.39,Metric Tonnes,2570.40,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,September-2024,884.49,Metric Tonnes,4903.87,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,September-2024,1081.95,Metric Tonnes,2770.77,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,September-2024,985.15,Metric Tonnes,3058.01,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,October-2024,970.38,Metric Tonnes,4804.62,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,October-2024,1094.87,Metric Tonnes,2740.58,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,October-2024,652.62,Metric Tonnes,5397.28,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,November-2024,852.60,Metric Tonnes,4825.26,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,November-2024,1008.42,Metric Tonnes,2754.01,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,November-2024,593.00,Metric Tonnes,4020.48,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,December-2024,872.81,Metric Tonnes,3852.44,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,December-2024,985.21,Metric Tonnes,2403.00,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,December-2024,594.20,Metric Tonnes,3828.22,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,January-2025,1110.45,Metric Tonnes,2957.71,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,January-2025,1500.14,Metric Tonnes,1408.90,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,January-2025,859.11,Metric Tonnes,1962.71,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,February-2025,1045.01,Metric Tonnes,3085.76,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,February-2025,1629.60,Metric Tonnes,1099.72,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,February-2025,935.06,Metric Tonnes,1607.07,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,March-2025,890.04,Metric Tonnes,2712.15,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,March-2025,1287.32,Metric Tonnes,1081.69,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,March-2025,869.01,Metric Tonnes,1548.91,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,April-2025,901.24,Metric Tonnes,1943.88,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,April-2025,1260.66,Metric Tonnes,1036.73,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,April-2025,903.94,Metric Tonnes,1727.65,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,May-2025,1173.44,Metric Tonnes,1639.66,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,May-2025,1508.30,Metric Tonnes,1207.00,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,May-2025,1159.55,Metric Tonnes,1448.83,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,June-2025,985.22,Metric Tonnes,1844.98,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,June-2025,1481.70,Metric Tonnes,1489.31,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,June-2025,1804.77,Metric Tonnes,2179.95,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,July-2025,1139.72,Metric Tonnes,2096.02,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,July-2025,1323.96,Metric Tonnes,1573.65,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,July-2025,7750.69,Metric Tonnes,2321.21,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,August-2025,1004.98,Metric Tonnes,2287.25,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,August-2025,1235.82,Metric Tonnes,1756.62,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,August-2025,3494.16,Metric Tonnes,3464.10,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,September-2025,966.22,Metric Tonnes,2083.86,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,September-2025,1237.41,Metric Tonnes,1754.57,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,September-2025,1776.72,Metric Tonnes,2459.07,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,October-2025,912.25,Metric Tonnes,1833.74,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,October-2025,1157.36,Metric Tonnes,1737.90,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,October-2025,1207.00,Metric Tonnes,2526.62,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,November-2025,1113.43,Metric Tonnes,1629.79,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,November-2025,1373.66,Metric Tonnes,1741.14,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,November-2025,803.77,Metric Tonnes,3807.40,Rs./Quintal
Himachal Pradesh,Vegetables,Onion,December-2025,1212.15,Metric Tonnes,2038.78,Rs./Quintal
Himachal Pradesh,Vegetables,Potato,December-2025,4300.36,Metric Tonnes,1110.22,Rs./Quintal
Himachal Pradesh,Vegetables,Tomato,December-2025,897.89,Metric Tonnes,4433.37,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,January-2023,3098.40,Metric Tonnes,1968.69,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,January-2023,3120.77,Metric Tonnes,849.03,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,January-2023,3020.00,Metric Tonnes,1730.05,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,February-2023,5052.00,Metric Tonnes,1628.39,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,February-2023,4661.60,Metric Tonnes,905.64,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,February-2023,4240.05,Metric Tonnes,1695.90,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,March-2023,5456.10,Metric Tonnes,1400.33,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,March-2023,4953.00,Metric Tonnes,807.99,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,March-2023,4517.40,Metric Tonnes,1914.85,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,April-2023,4996.70,Metric Tonnes,1306.30,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,April-2023,4189.90,Metric Tonnes,794.93,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,April-2023,4135.35,Metric Tonnes,1767.89,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,May-2023,5910.50,Metric Tonnes,1287.98,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,May-2023,5460.70,Metric Tonnes,1136.11,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,May-2023,5226.85,Metric Tonnes,1213.67,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,June-2023,5086.90,Metric Tonnes,1437.45,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,June-2023,5034.20,Metric Tonnes,1199.03,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,June-2023,4618.80,Metric Tonnes,1937.15,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,July-2023,4457.00,Metric Tonnes,1912.92,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,July-2023,4895.40,Metric Tonnes,1467.78,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,July-2023,2692.85,Metric Tonnes,8371.77,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,August-2023,5592.60,Metric Tonnes,2429.86,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,August-2023,6486.20,Metric Tonnes,1523.42,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,August-2023,3972.09,Metric Tonnes,5204.50,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,September-2023,5224.40,Metric Tonnes,2677.21,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,September-2023,5021.30,Metric Tonnes,1380.33,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,September-2023,4258.60,Metric Tonnes,1806.41,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,October-2023,4951.95,Metric Tonnes,3353.58,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,October-2023,8950.80,Metric Tonnes,1325.64,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,October-2023,4899.55,Metric Tonnes,1621.60,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,November-2023,6104.84,Metric Tonnes,4478.18,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,November-2023,6151.40,Metric Tonnes,1342.96,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,November-2023,5445.36,Metric Tonnes,3590.02,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,December-2023,5876.40,Metric Tonnes,3510.63,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,December-2023,6358.10,Metric Tonnes,997.44,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,December-2023,5494.80,Metric Tonnes,2661.07,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,January-2024,5818.30,Metric Tonnes,2444.64,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,January-2024,6704.70,Metric Tonnes,911.52,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,January-2024,5337.76,Metric Tonnes,2450.80,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,February-2024,5416.90,Metric Tonnes,1907.01,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,February-2024,6095.70,Metric Tonnes,999.46,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,February-2024,4875.64,Metric Tonnes,3014.79,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,March-2024,5029.30,Metric Tonnes,2169.58,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,March-2024,5081.10,Metric Tonnes,1221.71,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,March-2024,4788.70,Metric Tonnes,2726.37,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,April-2024,4732.15,Metric Tonnes,2172.01,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,April-2024,4743.30,Metric Tonnes,1810.74,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,April-2024,4405.36,Metric Tonnes,2511.82,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,May-2024,6743.20,Metric Tonnes,2033.87,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,May-2024,6630.30,Metric Tonnes,1952.62,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,May-2024,5748.26,Metric Tonnes,1755.13,Rs./Quintal
Jammu and Kashmir,Vegetables,Onion,June-2024,4011.00,Metric Tonnes,2521.56,Rs./Quintal
Jammu and Kashmir,Vegetables,Potato,June-2024,4318.90,Metric Tonnes,1843.37,Rs./Quintal
Jammu and Kashmir,Vegetables,Tomato,June-2024,3463.60,Metric Tonnes,1823.75,Rs./Quintal
