plot_id,farmer_id,region_id,area_ha,soil_group,soil_suitability_class,drainage_class,irrigation_access,available_water_m3,previous_crop,rotation_group,flood_exposure,drought_exposure,waterlogging_exposure,hazard_zone,active_season,synthetic_seed,synthetic
F0106-P02,F0106,R5,0.246,laterite,S2,poor,canal,1571.6,,,none,none,high,R5-HZ2,kharif,114044220,True
F0107-P01,F0107,R1,0.132,sandy,S1,well,canal,682.6,maize,cereal,low,none,low,R1-HZ1,kharif,1565965700,True
F0107-P02,F0107,R1,0.658,alluvial,S3,well,canal,4318.4,rice,cereal,low,low,moderate,R1-HZ2,kharif,1043817687,True
F0108-P01,F0108,R3,0.76,alluvial,S1,poor,rainfed,1529.9,groundnut,legume,moderate,low,low,R3-HZ1,kharif,835542963,True
F0108-P02,F0108,R3,0.255,laterite,S1,moderate,tubewell,1783.5,maize,cereal,low,low,low,R3-HZ2,kharif,1740897569,True
F0108-P03,F0108,R3,1.554,alluvial,S2,well,rainfed,3083.5,pigeon_pea,legume,moderate,moderate,none,R3-HZ3,kharif,491975694,True
F0109-P01,F0109,R1,0.911,sandy,S2,moderate,rainfed,1295.7,maize,cereal,low,low,low,R1-HZ1,kharif,1624064243,True
F0109-P02,F0109,R1,0.626,sandy,S1,moderate,tubewell,2999.4,pigeon_pea,legume,none,none,low,R1-HZ2,kharif,1984857592,True
F0109-P03,F0109,R1,1.292,sandy,N,poor,rainfed,1939.5,pigeon_pea,legume,none,none,none,R1-HZ3,kharif,783834738,True
F0110-P01,F0110,R5,1.363,laterite,S1,moderate,rainfed,1798.1,maize,cereal,none,none,moderate,R5-HZ1,kharif,1960569274,True
F0110-P02,F0110,R5,0.201,red,S3,poor,rainfed,259.0,cotton,fibre,none,none,none,R5-HZ2,kharif,394505459,True
F0110-P03,F0110,R5,0.185,laterite,S1,well,rainfed,255.9,maize,cereal,moderate,low,low,R5-HZ3,kharif,537276917,True
F0111-P01,F0111,R1,1.326,alluvial,N,moderate,tubewell,6655.4,pigeon_pea,legume,none,none,none,R1-HZ1,kharif,1669349362,True
F0111-P02,F0111,R1,0.656,sandy,S3,moderate,tubewell,3249.0,rice,cereal,none,none,low,R1-HZ2,kharif,402020580,True
F0112-P01,F0112,R2,0.064,red,S1,well,rainfed,60.5,cotton,fibre,low,high,none,R2-HZ1,kharif,1933269535,True
F0112-P02,F0112,R2,0.158,red,S2,moderate,rainfed,169.0,pigeon_pea,legume,none,low,low,R2-HZ2,kharif,140994623,True
F0113-P01,F0113,R4,0.235,red,S3,moderate,rainfed,215.5,groundnut,legume,high,moderate,moderate,R4-HZ1,kharif,1897874163,True
F0113-P02,F0113,R4,0.378,red,S1,moderate,tubewell,1376.0,maize,cereal,none,moderate,none,R4-HZ2,kharif,1921795413,True
F0114-P01,F0114,R1,0.584,sandy,S3,moderate,canal,3813.8,rice,cereal,low,none,low,R1-HZ1,kharif,423593167,True
F0115-P01,F0115,R1,0.916,alluvial,S3,well,rainfed,1519.2,rice,cereal,none,moderate,low,R1-HZ1,kharif,1837157859,True
F0115-P02,F0115,R1,1.005,sandy,S3,moderate,canal,5782.5,,,low,none,moderate,R1-HZ2,kharif,1672258009,True
F0115-P03,F0115,R1,1.738,sandy,S2,poor,canal,10779.7,,,moderate,moderate,low,R1-HZ3,kharif,1660430747,True
F0116-P01,F0116,R3,0.249,laterite,S2,well,canal,2219.6,,,high,low,moderate,R3-HZ1,kharif,374941685,True
F0116-P02,F0116,R3,0.702,alluvial,S3,well,rainfed,1523.4,groundnut,legume,low,moderate,none,R3-HZ2,kharif,236061298,True
F0117-P01,F0117,R3,0.438,alluvial,S1,well,rainfed,797.7,,,none,low,low,R3-HZ1,kharif,471214546,True
F0117-P02,F0117,R3,1.56,laterite,S1,poor,canal,11479.3,pigeon_pea,legume,moderate,none,low,R3-HZ2,kharif,1887945458,True
F0118-P01,F0118,R5,0.236,laterite,S1,poor,rainfed,381.5,pigeon_pea,legume,moderate,moderate,high,R5-HZ1,kharif,1454951420,True
F0119-P01,F0119,R2,0.298,black,S3,moderate,canal,1079.2,cotton,fibre,none,low,moderate,R2-HZ1,kharif,1019546675,True
F0119-P02,F0119,R2,0.232,red,S2,moderate,rainfed,270.3,pigeon_pea,legume,moderate,moderate,none,R2-HZ2,kharif,655943664,True
F0120-P01,F0120,R3,0.239,laterite,S2,well,canal,2130.9,maize,cereal,low,low,low,R3-HZ1,kharif,204942577,True
F0121-P01,F0121,R2,0.919,black,S2,moderate,tubewell,2947.3,pigeon_pea,legume,low,moderate,low,R2-HZ1,kharif,921061823,True
F0122-P01,F0122,R1,0.277,sandy,S2,well,tubewell,1443.7,rice,cereal,none,none,none,R1-HZ1,kharif,393212782,True
F0122-P02,F0122,R1,0.096,alluvial,S1,moderate,tubewell,520.7,maize,cereal,none,none,none,R1-HZ2,kharif,1628710452,True
F0123-P01,F0123,R5,0.987,laterite,S3,moderate,canal,5374.8,pigeon_pea,legume,none,none,low,R5-HZ1,kharif,1135911296,True
F0124-P01,F0124,R3,1.728,laterite,S1,poor,rainfed,2892.1,rice,cereal,moderate,moderate,high,R3-HZ1,kharif,1122661885,True
F0125-P01,F0125,R3,0.255,laterite,S2,moderate,rainfed,430.1,groundnut,legume,high,moderate,none,R3-HZ1,kharif,657043716,True
F0126-P01,F0126,R5,1.9,red,S2,well,rainfed,2645.4,rice,cereal,high,low,none,R5-HZ1,kharif,394519342,True
F0126-P02,F0126,R5,5.549,red,S2,well,rainfed,8548.8,cotton,fibre,moderate,low,moderate,R5-HZ2,kharif,1683301412,True
F0127-P01,F0127,R5,0.365,laterite,S2,well,rainfed,466.4,cotton,fibre,high,none,none,R5-HZ1,kharif,454145643,True
F0128-P01,F0128,R3,0.263,laterite,S1,well,rainfed,566.8,pigeon_pea,legume,low,none,low,R3-HZ1,kharif,1490585766,True
F0128-P02,F0128,R3,2.466,alluvial,S2,well,rainfed,4477.8,groundnut,legume,low,moderate,low,R3-HZ2,kharif,1911469255,True
F0128-P03,F0128,R3,0.279,alluvial,S3,well,canal,2393.6,cotton,fibre,moderate,high,none,R3-HZ3,kharif,1944740776,True
F0129-P01,F0129,R5,0.43,red,S3,well,canal,2840.1,rice,cereal,low,none,moderate,R5-HZ1,kharif,1031755292,True
F0129-P02,F0129,R5,1.332,red,S3,well,canal,7884.1,rice,cereal,none,none,low,R5-HZ2,kharif,1740314772,True
F0130-P01,F0130,R1,0.225,sandy,S2,moderate,tubewell,982.2,,,none,none,low,R1-HZ1,kharif,1551585364,True
F0130-P02,F0130,R1,0.293,alluvial,S3,poor,tubewell,1257.9,maize,cereal,moderate,low,high,R1-HZ2,kharif,1088007948,True
F0131-P01,F0131,R3,0.04,alluvial,S2,moderate,canal,321.7,groundnut,legume,moderate,none,none,R3-HZ1,kharif,355068392,True
F0131-P02,F0131,R3,0.772,laterite,S2,moderate,canal,5359.6,,,high,none,moderate,R3-HZ2,kharif,1840959930,True
F0132-P01,F0132,R4,0.195,red,S1,poor,rainfed,206.3,,,none,low,high,R4-HZ1,kharif,1467963207,True
F0132-P02,F0132,R4,1.034,sandy,S3,moderate,rainfed,1101.4,rice,cereal,none,high,none,R4-HZ2,kharif,1025856194,True
F0133-P01,F0133,R2,0.314,red,S2,well,canal,1339.2,pigeon_pea,legume,none,none,low,R2-HZ1,kharif,136188274,True
F0133-P02,F0133,R2,0.458,black,S3,moderate,rainfed,505.0,cotton,fibre,none,high,none,R2-HZ2,kharif,88377381,True
F0134-P01,F0134,R3,0.923,laterite,S2,moderate,canal,7243.3,,,low,moderate,none,R3-HZ1,kharif,1603965265,True
F0135-P01,F0135,R3,0.243,laterite,S1,well,rainfed,483.6,rice,cereal,low,none,none,R3-HZ1,kharif,1304972700,True
F0135-P02,F0135,R3,0.235,laterite,S1,well,tubewell,1563.2,rice,cereal,none,low,none,R3-HZ2,kharif,1930706296,True
F0136-P01,F0136,R1,0.408,sandy,S1,poor,canal,2120.2,,,low,none,high,R1-HZ1,kharif,1274846599,True
F0136-P02,F0136,R1,0.055,alluvial,S2,well,canal,366.8,,,low,high,none,R1-HZ2,kharif,1580916923,True
F0137-P01,F0137,R4,4.86,sandy,S2,well,rainfed,4746.1,cotton,fibre,none,low,low,R4-HZ1,kharif,743362672,True
F0137-P02,F0137,R4,0.853,sandy,S1,well,rainfed,926.4,maize,cereal,none,low,moderate,R4-HZ2,kharif,1584110491,True
F0137-P03,F0137,R4,3.531,red,S1,poor,rainfed,3351.2,groundnut,legume,moderate,none,none,R4-HZ3,kharif,442815261,True
F0138-P01,F0138,R3,0.725,alluvial,S3,well,tubewell,5081.3,,,none,low,none,R3-HZ1,kharif,1394024145,True
F0138-P02,F0138,R3,0.725,alluvial,S3,moderate,rainfed,1432.4,groundnut,legume,none,none,moderate,R3-HZ2,kharif,330687542,True
F0138-P03,F0138,R3,6.082,alluvial,S2,well,rainfed,12917.9,rice,cereal,moderate,none,moderate,R3-HZ3,kharif,646802730,True
F0138-P04,F0138,R3,4.371,alluvial,S2,moderate,tubewell,32295.8,rice,cereal,moderate,low,none,R3-HZ1,kharif,738073566,True
F0138-P05,F0138,R3,3.152,laterite,S2,poor,tubewell,18267.4,groundnut,legume,low,none,high,R3-HZ2,kharif,331011470,True
F0139-P01,F0139,R1,0.052,sandy,S1,moderate,rainfed,84.8,rice,cereal,none,moderate,none,R1-HZ1,kharif,307377931,True
F0139-P02,F0139,R1,0.272,sandy,S1,well,canal,1500.9,cotton,fibre,high,low,low,R1-HZ2,kharif,1012479315,True
F0140-P01,F0140,R5,0.717,laterite,S2,poor,rainfed,1023.6,cotton,fibre,low,low,moderate,R5-HZ1,kharif,43047694,True
F0141-P01,F0141,R5,0.843,laterite,S2,well,rainfed,1099.6,rice,cereal,low,low,low,R5-HZ1,kharif,713199689,True
F0141-P02,F0141,R5,0.123,red,S2,moderate,rainfed,157.3,maize,cereal,none,low,moderate,R5-HZ2,kharif,476618814,True
F0142-P01,F0142,R5,0.89,laterite,S2,moderate,rainfed,1394.2,groundnut,legume,low,moderate,low,R5-HZ1,kharif,562831879,True
F0143-P01,F0143,R3,1.482,alluvial,S2,moderate,canal,11192.5,pigeon_pea,legume,none,moderate,none,R3-HZ1,kharif,226128588,True
F0144-P01,F0144,R4,0.147,red,S2,well,rainfed,143.0,rice,cereal,low,none,none,R4-HZ1,kharif,896008877,True
F0144-P02,F0144,R4,1.022,red,S3,well,rainfed,1135.9,,,moderate,high,low,R4-HZ2,kharif,1456380183,True
F0145-P01,F0145,R5,0.088,laterite,S2,well,canal,592.1,rice,cereal,low,moderate,none,R5-HZ1,kharif,1292466703,True
F0145-P02,F0145,R5,0.835,red,S3,well,rainfed,1070.6,maize,cereal,high,none,low,R5-HZ2,kharif,1641972227,True
F0146-P01,F0146,R1,0.047,sandy,S2,poor,tubewell,236.2,,,none,none,none,R1-HZ1,kharif,1045236312,True
F0146-P02,F0146,R1,0.927,sandy,S2,well,rainfed,1547.9,cotton,fibre,none,none,moderate,R1-HZ2,kharif,1039563664,True
F0147-P01,F0147,R5,0.377,laterite,S1,moderate,rainfed,560.3,,,moderate,moderate,low,R5-HZ1,kharif,706964417,True
F0147-P02,F0147,R5,0.239,laterite,S1,moderate,tubewell,1147.2,cotton,fibre,none,low,none,R5-HZ2,kharif,503041731,True
F0148-P01,F0148,R3,3.06,laterite,S2,moderate,canal,21941.0,pigeon_pea,legume,moderate,moderate,moderate,R3-HZ1,kharif,549902716,True
F0148-P02,F0148,R3,6.603,laterite,S2,poor,rainfed,11656.8,,,moderate,none,moderate,R3-HZ2,kharif,503098145,True
F0149-P01,F0149,R1,0.926,alluvial,S1,moderate,canal,4934.8,rice,cereal,none,none,low,R1-HZ1,kharif,1655578190,True
F0150-P01,F0150,R5,0.569,red,S2,poor,canal,3098.6,rice,cereal,low,none,high,R5-HZ1,kharif,154363047,True
F0150-P02,F0150,R5,0.439,laterite,S2,moderate,rainfed,714.2,,,low,none,moderate,R5-HZ2,kharif,752443258,True
F0150-P03,F0150,R5,0.738,red,S2,moderate,tubewell,4064.1,rice,cereal,low,none,moderate,R5-HZ3,kharif,1638443540,True
F0151-P01,F0151,R1,1.21,sandy,S1,moderate,canal,6208.3,maize,cereal,none,low,moderate,R1-HZ1,kharif,624186562,True
F0152-P01,F0152,R2,0.301,red,S1,moderate,rainfed,359.9,cotton,fibre,none,high,none,R2-HZ1,kharif,399575244,True
F0152-P02,F0152,R2,0.445,black,S2,well,rainfed,490.8,rice,cereal,none,moderate,moderate,R2-HZ2,kharif,235282117,True
F0152-P03,F0152,R2,2.36,black,S3,moderate,canal,10910.9,pigeon_pea,legume,low,high,low,R2-HZ3,kharif,232908513,True
F0153-P01,F0153,R3,3.843,alluvial,S3,poor,rainfed,6663.1,rice,cereal,high,moderate,none,R3-HZ1,kharif,824960335,True
F0153-P02,F0153,R3,3.718,laterite,N,well,rainfed,7306.3,groundnut,legume,moderate,low,moderate,R3-HZ2,kharif,381243798,True
F0153-P03,F0153,R3,0.558,laterite,S2,moderate,tubewell,3168.7,maize,cereal,low,none,low,R3-HZ3,kharif,253134906,True
F0154-P01,F0154,R1,2.265,sandy,S3,moderate,tubewell,12750.6,pigeon_pea,legume,none,none,low,R1-HZ1,kharif,486428752,True
F0154-P02,F0154,R1,0.365,sandy,S2,poor,rainfed,518.5,,,low,none,low,R1-HZ2,kharif,528387086,True
F0154-P03,F0154,R1,0.698,alluvial,S2,well,canal,4666.5,maize,cereal,low,low,moderate,R1-HZ3,kharif,1610283997,True
F0155-P01,F0155,R2,0.464,red,S3,poor,rainfed,552.4,cotton,fibre,moderate,high,none,R2-HZ1,kharif,1629706201,True
F0156-P01,F0156,R5,0.489,red,S2,poor,rainfed,839.5,pigeon_pea,legume,moderate,none,low,R5-HZ1,kharif,1261673139,True
F0156-P02,F0156,R5,1.288,laterite,S1,moderate,tubewell,6119.4,pigeon_pea,legume,low,none,low,R5-HZ2,kharif,1328933070,True
F0156-P03,F0156,R5,1.67,laterite,S1,well,rainfed,2135.4,,,moderate,low,none,R5-HZ3,kharif,74485604,True
F0157-P01,F0157,R1,0.605,alluvial,S3,well,canal,3236.0,maize,cereal,moderate,moderate,moderate,R1-HZ1,kharif,888615440,True
F0157-P02,F0157,R1,0.209,sandy,N,well,canal,1278.4,groundnut,legume,high,none,moderate,R1-HZ2,kharif,1732172396,True
F0158-P01,F0158,R3,0.181,laterite,S2,well,tubewell,1305.6,rice,cereal,moderate,moderate,moderate,R3-HZ1,kharif,456122546,True
F0158-P02,F0158,R3,3.487,laterite,S3,well,rainfed,6253.8,,,high,none,moderate,R3-HZ2,kharif,1888095395,True
F0159-P01,F0159,R3,1.784,laterite,S1,moderate,tubewell,10575.6,maize,cereal,moderate,none,none,R3-HZ1,kharif,1113378990,True
F0160-P01,F0160,R3,0.998,alluvial,S2,moderate,canal,7777.1,cotton,fibre,none,high,low,R3-HZ1,kharif,88534631,True
F0160-P02,F0160,R3,1.124,alluvial,S3,well,canal,9996.2,cotton,fibre,low,low,moderate,R3-HZ2,kharif,1657957064,True
F0160-P03,F0160,R3,0.541,laterite,S2,well,rainfed,1176.8,pigeon_pea,legume,none,low,moderate,R3-HZ3,kharif,706796426,True
F0161-P01,F0161,R4,0.624,red,S2,poor,rainfed,588.2,,,moderate,high,high,R4-HZ1,kharif,53602197,True
F0161-P02,F0161,R4,0.35,red,S2,well,rainfed,409.7,cotton,fibre,none,low,none,R4-HZ2,kharif,932995594,True
F0162-P01,F0162,R3,1.342,alluvial,S2,poor,tubewell,8240.9,pigeon_pea,legume,none,none,high,R3-HZ1,kharif,1339142453,True
F0163-P01,F0163,R3,0.24,alluvial,S2,poor,tubewell,1599.8,cotton,fibre,low,moderate,moderate,R3-HZ1,kharif,1591045066,True
F0164-P01,F0164,R1,0.324,sandy,S3,moderate,rainfed,458.0,rice,cereal,none,moderate,low,R1-HZ1,kharif,987431750,True
F0164-P02,F0164,R1,0.076,alluvial,S2,moderate,rainfed,116.7,groundnut,legume,low,low,none,R1-HZ2,kharif,770004947,True
F0165-P01,F0165,R2,1.279,black,S2,well,rainfed,1314.2,maize,cereal,none,none,low,R2-HZ1,kharif,500888597,True
F0165-P02,F0165,R2,1.17,black,S2,well,rainfed,1236.1,groundnut,legume,none,moderate,moderate,R2-HZ2,kharif,1647743718,True
F0165-P03,F0165,R2,1.011,black,S3,poor,rainfed,908.2,cotton,fibre,none,low,high,R2-HZ3,kharif,611010563,True
F0166-P01,F0166,R3,0.388,alluvial,S2,well,canal,2738.1,cotton,fibre,low,low,moderate,R3-HZ1,kharif,1174707824,True
F0166-P02,F0166,R3,0.182,alluvial,S1,poor,tubewell,1156.5,groundnut,legume,moderate,low,none,R3-HZ2,kharif,1294556034,True
F0167-P01,F0167,R3,0.778,alluvial,S2,poor,rainfed,1644.0,maize,cereal,low,none,none,R3-HZ1,kharif,391337611,True
F0168-P01,F0168,R3,0.878,alluvial,S3,well,rainfed,1650.7,groundnut,legume,high,low,none,R3-HZ1,kharif,1262236926,True
F0169-P01,F0169,R2,0.375,black,S2,well,tubewell,1404.2,cotton,fibre,low,none,low,R2-HZ1,kharif,1630226174,True
F0169-P02,F0169,R2,0.025,black,S1,moderate,canal,96.2,cotton,fibre,none,moderate,moderate,R2-HZ2,kharif,1099284651,True
F0170-P01,F0170,R4,4.788,sandy,S1,well,rainfed,4803.0,cotton,fibre,none,high,low,R4-HZ1,kharif,137600327,True
F0170-P02,F0170,R4,0.492,red,S3,well,rainfed,488.0,pigeon_pea,legume,none,high,low,R4-HZ2,kharif,178508878,True
F0170-P03,F0170,R4,1.197,red,S3,well,canal,4583.6,,,low,moderate,none,R4-HZ3,kharif,1557017989,True
F0170-P04,F0170,R4,3.395,red,S1,well,rainfed,3881.3,rice,cereal,none,moderate,low,R4-HZ1,kharif,1871841806,True
F0171-P01,F0171,R4,0.771,sandy,S3,moderate,rainfed,841.5,rice,cereal,low,low,none,R4-HZ1,kharif,1475349357,True
F0172-P01,F0172,R1,0.883,sandy,S1,poor,tubewell,3788.8,pigeon_pea,legume,moderate,low,high,R1-HZ1,kharif,1477232978,True
F0173-P01,F0173,R4,0.659,red,S2,moderate,tubewell,2125.8,,,high,low,none,R4-HZ1,kharif,398007750,True
F0173-P02,F0173,R4,0.124,sandy,S3,poor,tubewell,391.8,rice,cereal,low,high,low,R4-HZ2,kharif,125039791,True
F0174-P01,F0174,R1,0.806,sandy,N,well,rainfed,1113.0,rice,cereal,high,low,moderate,R1-HZ1,kharif,513096185,True
F0175-P01,F0175,R5,1.945,red,S2,moderate,rainfed,2849.8,cotton,fibre,none,none,low,R5-HZ1,kharif,653300675,True
F0176-P01,F0176,R4,1.383,red,S2,well,rainfed,1667.4,cotton,fibre,low,moderate,none,R4-HZ1,kharif,1149653844,True
F0177-P01,F0177,R5,1.952,red,S1,moderate,canal,10166.9,maize,cereal,none,low,low,R5-HZ1,kharif,970788836,True
F0178-P01,F0178,R5,1.943,red,S2,well,tubewell,8697.6,rice,cereal,moderate,low,low,R5-HZ1,kharif,754222877,True
F0178-P02,F0178,R5,0.353,red,S1,poor,canal,1933.4,groundnut,legume,low,none,low,R5-HZ2,kharif,1152692825,True
F0179-P01,F0179,R5,0.603,red,S2,well,tubewell,3263.1,rice,cereal,low,none,none,R5-HZ1,kharif,509974730,True
F0179-P02,F0179,R5,0.466,red,S1,moderate,tubewell,2085.9,cotton,fibre,moderate,high,low,R5-HZ2,kharif,1717402823,True
F0180-P01,F0180,R4,0.09,red,S2,moderate,canal,412.6,pigeon_pea,legume,low,none,low,R4-HZ1,kharif,1679161789,True
F0180-P02,F0180,R4,0.904,sandy,S3,well,rainfed,1008.0,pigeon_pea,legume,moderate,high,moderate,R4-HZ2,kharif,1581270421,True
F0181-P01,F0181,R5,1.359,red,S1,well,tubewell,6328.0,cotton,fibre,low,moderate,low,R5-HZ1,kharif,1857139471,True
F0181-P02,F0181,R5,1.579,red,S2,well,canal,8762.1,cotton,fibre,none,none,none,R5-HZ2,kharif,333461491,True
F0182-P01,F0182,R3,0.364,laterite,S1,poor,canal,3029.0,groundnut,legume,moderate,moderate,none,R3-HZ1,kharif,159601273,True
F0183-P01,F0183,R5,0.982,laterite,S3,moderate,rainfed,1538.6,,,none,low,none,R5-HZ1,kharif,1601743088,True
F0184-P01,F0184,R2,0.663,red,S2,poor,rainfed,715.0,maize,cereal,none,none,high,R2-HZ1,kharif,586472964,True
F0184-P02,F0184,R2,0.05,black,S2,well,rainfed,57.7,maize,cereal,low,high,none,R2-HZ2,kharif,1751546470,True
F0185-P01,F0185,R4,0.131,red,S3,well,rainfed,155.6,cotton,fibre,none,high,low,R4-HZ1,kharif,1085494590,True
F0185-P02,F0185,R4,1.371,sandy,S3,moderate,tubewell,4295.3,rice,cereal,moderate,moderate,none,R4-HZ2,kharif,1319051045,True
F0186-P01,F0186,R4,0.342,red,S1,poor,rainfed,376.4,pigeon_pea,legume,none,high,high,R4-HZ1,kharif,1814150744,True
F0187-P01,F0187,R4,0.235,sandy,S2,well,rainfed,264.3,rice,cereal,low,low,low,R4-HZ1,kharif,635974010,True
F0187-P02,F0187,R4,2.953,sandy,S3,well,rainfed,3436.1,cotton,fibre,high,moderate,low,R4-HZ2,kharif,1714908168,True
F0188-P01,F0188,R5,0.327,laterite,S2,poor,rainfed,473.4,cotton,fibre,low,low,none,R5-HZ1,kharif,290993493,True
F0188-P02,F0188,R5,3.769,red,S2,well,canal,23972.0,groundnut,legume,none,none,none,R5-HZ2,kharif,1934601519,True
F0188-P03,F0188,R5,0.247,laterite,S1,moderate,tubewell,1138.1,maize,cereal,moderate,none,none,R5-HZ3,kharif,145014494,True
F0188-P04,F0188,R5,0.806,laterite,S2,well,rainfed,1178.1,,,high,low,moderate,R5-HZ1,kharif,1768817432,True
F0189-P01,F0189,R5,0.532,laterite,S1,moderate,tubewell,2792.8,pigeon_pea,legume,low,none,none,R5-HZ1,kharif,927118358,True
F0189-P02,F0189,R5,0.486,laterite,S1,poor,canal,3212.7,,,moderate,low,high,R5-HZ2,kharif,1222672432,True
F0190-P01,F0190,R1,0.656,alluvial,S2,well,canal,4221.6,cotton,fibre,none,none,low,R1-HZ1,kharif,325611016,True
F0191-P01,F0191,R4,0.562,sandy,S2,moderate,rainfed,549.3,cotton,fibre,moderate,high,moderate,R4-HZ1,kharif,105124348,True
F0192-P01,F0192,R3,2.512,laterite,S3,well,tubewell,14328.2,pigeon_pea,legume,low,none,low,R3-HZ1,kharif,1187603799,True
F0192-P02,F0192,R3,0.482,laterite,S1,well,canal,3979.9,,,moderate,moderate,moderate,R3-HZ2,kharif,1165348044,True
F0193-P01,F0193,R5,4.482,red,S2,moderate,rainfed,7041.6,rice,cereal,low,moderate,moderate,R5-HZ1,kharif,254164150,True
F0193-P02,F0193,R5,1.371,laterite,S2,moderate,rainfed,1837.4,groundnut,legume,high,none,moderate,R5-HZ2,kharif,1985363728,True
F0194-P01,F0194,R5,0.423,laterite,S3,well,tubewell,2254.4,groundnut,legume,none,moderate,moderate,R5-HZ1,kharif,310683769,True
F0194-P02,F0194,R5,0.169,red,S1,well,canal,935.8,pigeon_pea,legume,moderate,low,moderate,R5-HZ2,kharif,566355027,True
F0195-P01,F0195,R2,1.775,black,S2,moderate,tubewell,5714.4,,,moderate,none,moderate,R2-HZ1,kharif,791758095,True
F0196-P01,F0196,R2,0.636,red,S2,poor,rainfed,763.7,cotton,fibre,none,high,none,R2-HZ1,kharif,1297681818,True
F0197-P01,F0197,R4,0.764,red,S1,poor,rainfed,687.8,,,low,moderate,low,R4-HZ1,kharif,910367055,True
F0198-P01,F0198,R5,0.616,laterite,S1,moderate,canal,4055.4,maize,cereal,none,high,none,R5-HZ1,kharif,575823502,True
F0199-P01,F0199,R3,1.691,laterite,S1,well,rainfed,2893.5,rice,cereal,low,none,low,R3-HZ1,kharif,360730796,True
F0200-P01,F0200,R5,0.035,red,S1,moderate,canal,238.7,rice,cereal,none,none,low,R5-HZ1,kharif,75096282,True
F0200-P02,F0200,R5,0.365,red,S1,well,tubewell,1845.9,maize,cereal,low,moderate,low,R5-HZ2,kharif,1623753758,True
F0201-P01,F0201,R2,0.124,black,S2,poor,canal,550.8,cotton,fibre,moderate,none,low,R2-HZ1,kharif,1522757386,True
F0201-P02,F0201,R2,1.374,red,S2,well,rainfed,1651.0,pigeon_pea,legume,low,none,low,R2-HZ2,kharif,1183923997,True
F0202-P01,F0202,R1,0.157,alluvial,S2,well,tubewell,734.2,,,high,none,moderate,R1-HZ1,kharif,1256840717,True
F0202-P02,F0202,R1,1.106,alluvial,S2,well,rainfed,1873.5,groundnut,legume,moderate,low,none,R1-HZ2,kharif,1721666843,True
F0202-P03,F0202,R1,1.465,alluvial,S2,moderate,canal,9092.4,pigeon_pea,legume,moderate,high,low,R1-HZ3,kharif,1268816949,True
F0203-P01,F0203,R2,1.142,red,S2,well,tubewell,3911.4,groundnut,legume,low,moderate,none,R2-HZ1,kharif,806621499,True
F0203-P02,F0203,R2,0.528,red,S3,moderate,rainfed,555.9,cotton,fibre,none,low,none,R2-HZ2,kharif,349647623,True
F0203-P03,F0203,R2,0.227,black,N,moderate,tubewell,725.3,maize,cereal,low,low,low,R2-HZ3,kharif,557008938,True
F0204-P01,F0204,R5,0.299,laterite,S2,well,rainfed,501.1,rice,cereal,none,moderate,low,R5-HZ1,kharif,636956824,True
F0205-P01,F0205,R5,0.968,red,S1,well,canal,5503.0,cotton,fibre,moderate,low,none,R5-HZ1,kharif,1601763677,True
F0205-P02,F0205,R5,0.497,red,S2,moderate,rainfed,750.9,rice,cereal,none,low,moderate,R5-HZ2,kharif,710907805,True
F0206-P01,F0206,R1,0.241,sandy,S1,moderate,canal,1377.7,maize,cereal,none,low,none,R1-HZ1,kharif,1952649735,True
F0206-P02,F0206,R1,4.673,alluvial,S2,moderate,rainfed,5999.3,,,low,low,low,R1-HZ2,kharif,627091484,True
F0207-P01,F0207,R3,0.228,laterite,S3,poor,canal,1764.4,groundnut,legume,low,moderate,high,R3-HZ1,kharif,1912019758,True
F0207-P02,F0207,R3,0.094,laterite,S2,moderate,rainfed,179.1,cotton,fibre,none,none,moderate,R3-HZ2,kharif,1377284008,True
F0208-P01,F0208,R2,0.214,red,S3,moderate,tubewell,666.8,rice,cereal,low,high,low,R2-HZ1,kharif,1797463445,True
F0208-P02,F0208,R2,0.577,red,S2,poor,rainfed,572.9,cotton,fibre,none,high,low,R2-HZ2,kharif,1993786276,True
F0209-P01,F0209,R2,0.361,red,S3,well,rainfed,346.4,pigeon_pea,legume,none,moderate,none,R2-HZ1,kharif,1879443929,True
F0209-P02,F0209,R2,0.153,black,S2,well,rainfed,178.0,maize,cereal,none,none,none,R2-HZ2,kharif,621021406,True
F0210-P01,F0210,R4,1.051,sandy,S1,moderate,rainfed,1165.8,maize,cereal,moderate,moderate,moderate,R4-HZ1,kharif,1088685373,True
F0210-P02,F0210,R4,0.655,red,S1,well,rainfed,585.6,groundnut,legume,moderate,moderate,low,R4-HZ2,kharif,1601543234,True
F0211-P01,F0211,R3,0.248,alluvial,S2,well,tubewell,1832.9,maize,cereal,moderate,none,low,R3-HZ1,kharif,354604555,True
F0211-P02,F0211,R3,0.119,alluvial,S1,well,tubewell,700.6,groundnut,legume,moderate,none,low,R3-HZ2,kharif,1756871109,True
F0211-P03,F0211,R3,0.674,laterite,S3,well,tubewell,4669.1,pigeon_pea,legume,moderate,low,none,R3-HZ3,kharif,1398161584,True
F0212-P01,F0212,R5,1.116,red,S2,moderate,tubewell,5166.2,rice,cereal,moderate,high,none,R5-HZ1,kharif,102220630,True
F0212-P02,F0212,R5,0.058,red,S3,moderate,rainfed,95.7,,,moderate,moderate,moderate,R5-HZ2,kharif,1987706795,True
