farmer_id,plot_id,crop,area_ha,net_return,cost,labour_pd
F0406,F0406-P02,rice,0.26,5803.0,11598.0,33.8
F0407,F0407-P02,pearl_millet,0.573,8962.0,14237.0,28.6
F0407,F0407-P03,pearl_millet,0.256,4004.0,6361.0,12.8
F0408,F0408-P01,maize,1.228,32116.0,54295.0,79.8
F0409,F0409-P01,pearl_millet,0.096,1501.0,2385.0,4.8
F0412,F0412-P02,maize,0.122,3191.0,5394.0,7.9
F0412,F0412-P01,pearl_millet,0.132,2065.0,3280.0,6.6
F0413,F0413-P01,groundnut,0.754,37969.0,75938.0,64.1
F0414,F0414-P01,soybean,1.171,22107.0,44214.0,52.7
F0415,F0415-P02,maize,1.127,29475.0,49830.0,73.3
F0415,F0415-P01,groundnut,0.096,4834.0,9669.0,8.2
F0416,F0416-P01,pearl_millet,1.227,19191.0,30487.0,61.4
F0417,F0417-P02,maize,2.506,65541.0,110802.0,162.9
F0418,F0418-P01,cotton,0.382,12340.0,24681.0,42.0
F0419,F0419-P01,pearl_millet,3.109,48626.0,77249.0,155.4
F0420,F0420-P01,maize,0.908,23747.0,40147.0,59.0
F0421,F0421-P01,soybean,0.387,7306.0,14612.0,17.4
F0422,F0422-P01,pearl_millet,0.867,13560.0,21542.0,43.4
F0423,F0423-P01,pearl_millet,1.727,27011.0,42910.0,86.4
F0424,F0424-P01,pearl_millet,0.849,13279.0,21095.0,42.4
F0425,F0425-P01,maize,0.282,7375.0,12469.0,18.3
F0426,F0426-P01,pearl_millet,0.757,11840.0,18809.0,37.9
F0427,F0427-P01,maize,0.513,13417.0,22682.0,33.3
F0428,F0428-P04,maize,1.901,49718.0,84052.0,123.6
F0429,F0429-P01,pearl_millet,0.125,1955.0,3106.0,6.2
F0430,F0430-P01,pearl_millet,1.762,27559.0,43780.0,88.1
F0431,F0431-P03,pearl_millet,5.575,87196.0,138521.0,278.8
F0431,F0431-P02,groundnut,1.05,52875.0,105749.0,89.2
F0433,F0433-P01,soybean,0.621,11724.0,23448.0,27.9
F0434,F0434-P01,pearl_millet,1.399,21881.0,34761.0,70.0
F0435,F0435-P01,maize,0.636,16634.0,28120.0,41.3
F0436,F0436-P01,soybean,0.977,18445.0,36889.0,44.0
F0437,F0437-P01,pearl_millet,0.308,4817.0,7653.0,15.4
F0438,F0438-P02,pearl_millet,0.71,11105.0,17641.0,35.5
F0438,F0438-P01,groundnut,0.121,6093.0,12186.0,10.3
F0440,F0440-P01,pearl_millet,0.435,6804.0,10808.0,21.8
F0441,F0441-P02,pearl_millet,0.14,2190.0,3479.0,7.0
F0442,F0442-P01,pearl_millet,0.811,12684.0,20151.0,40.6
F0443,F0443-P02,pearl_millet,0.239,3738.0,5938.0,11.9
F0444,F0444-P02,pearl_millet,0.557,8712.0,13840.0,27.9
F0444,F0444-P01,pearl_millet,0.035,547.0,870.0,1.8
F0445,F0445-P02,groundnut,0.367,18481.0,36962.0,31.2
F0445,F0445-P01,rice,0.144,3214.0,6423.0,18.7
F0446,F0446-P02,pearl_millet,0.256,4004.0,6361.0,12.8
F0448,F0448-P01,pearl_millet,1.367,21381.0,33966.0,68.3
F0448,F0448-P02,groundnut,0.069,3475.0,6949.0,5.9
F0449,F0449-P01,pearl_millet,0.738,11543.0,18337.0,36.9
F0451,F0451-P01,pearl_millet,0.418,6538.0,10386.0,20.9
F0453,F0453-P01,maize,3.85,100691.0,170226.0,250.2
F0454,F0454-P01,pearl_millet,0.791,12372.0,19654.0,39.6
F0455,F0455-P01,pearl_millet,0.688,10761.0,17095.0,34.4
F0456,F0456-P02,pearl_millet,0.501,7836.0,12448.0,25.1
F0459,F0459-P02,maize,0.326,8526.0,14414.0,21.2
F0460,F0460-P01,maize,0.536,14018.0,23699.0,34.8
F0462,F0462-P01,maize,2.63,68784.0,116284.0,170.9
F0462,F0462-P02,maize,0.738,19301.0,32630.0,48.0
F0464,F0464-P01,pearl_millet,0.422,6600.0,10485.0,21.1
F0465,F0465-P01,soybean,0.416,7854.0,15707.0,18.7
F0466,F0466-P03,pearl_millet,1.557,24352.0,38686.0,77.8
F0466,F0466-P02,pearl_millet,0.623,9744.0,15480.0,31.1
F0467,F0467-P01,pearl_millet,0.466,7288.0,11579.0,23.3
F0468,F0468-P02,pearl_millet,0.477,7461.0,11852.0,23.8
F0468,F0468-P01,pearl_millet,0.152,2377.0,3777.0,7.6
F0469,F0469-P02,pearl_millet,0.812,12700.0,20176.0,40.6
F0469,F0469-P01,pearl_millet,0.283,4426.0,7032.0,14.1
F0470,F0470-P01,pearl_millet,1.896,29654.0,47109.0,94.8
F0471,F0471-P01,soybean,0.401,7570.0,15141.0,18.0
F0472,F0472-P02,maize,2.131,55733.0,94221.0,138.5
F0473,F0473-P01,pearl_millet,1.275,19942.0,31680.0,63.7
F0474,F0474-P01,pearl_millet,0.274,4285.0,6808.0,13.7
F0477,F0477-P01,pearl_millet,0.409,6397.0,10162.0,20.4
F0478,F0478-P03,groundnut,1.245,62694.0,125388.0,105.8
F0478,F0478-P02,pearl_millet,1.752,27402.0,43532.0,87.6
F0479,F0479-P01,maize,0.358,9363.0,15829.0,23.3
F0481,F0481-P01,maize,0.868,22701.0,38378.0,56.4
F0483,F0483-P02,groundnut,0.288,14503.0,29006.0,24.5
F0484,F0484-P01,pearl_millet,1.054,16485.0,26188.0,52.7
F0485,F0485-P02,pearl_millet,0.2,3128.0,4969.0,10.0
F0486,F0486-P02,groundnut,0.041,2065.0,4129.0,3.5
F0487,F0487-P01,pearl_millet,0.826,12919.0,20523.0,41.3
F0488,F0488-P02,soybean,0.406,7665.0,15330.0,18.3
F0489,F0489-P01,maize,0.434,11351.0,19189.0,28.2
F0490,F0490-P01,maize,0.236,6172.0,10435.0,15.3
F0490,F0490-P02,pearl_millet,0.361,5646.0,8970.0,18.1
F0491,F0491-P01,pearl_millet,0.629,9838.0,15629.0,31.4
F0492,F0492-P02,maize,0.742,19406.0,32807.0,48.2
F0493,F0493-P01,pearl_millet,0.37,5787.0,9193.0,18.5
F0496,F0496-P01,pearl_millet,2.629,41119.0,65322.0,131.4
F0496,F0496-P03,maize,0.885,23146.0,39130.0,57.5
F0497,F0497-P01,groundnut,0.037,1863.0,3726.0,3.1
F0498,F0498-P01,pearl_millet,1.106,17298.0,27481.0,55.3
F0499,F0499-P01,pearl_millet,0.356,5568.0,8845.0,17.8
F0499,F0499-P02,groundnut,0.046,2316.0,4633.0,3.9
